iter	Passed	Remaining
785	4842	1318
786	4849	1312
787	4857	1306
788	4864	1300
789	4879	1296
790	4886	1291
791	4893	1285
792	4925	1285
793	4932	1279
794	4941	1274
795	4948	1268
796	4956	1262
797	4963	1256
798	4970	1250
799	4976	1244
800	4983	1238
801	4990	1232
802	4996	1225
803	5004	1219
804	5011	1213
805	5017	1207
806	5024	1201
807	5031	1195
808	5039	1189
809	5054	1185
810	5060	1179
811	5064	1172
812	5068	1165
813	5073	1159
814	5077	1152
815	5082	1145
816	5086	1139
817	5090	1132
818	5094	1125
819	5098	1119
820	5103	1112
821	5110	1106
822	5117	1100
823	5123	1094
824	5130	1088
825	5137	1082
826	5144	1076
827	5151	1070
828	5158	1063
829	5164	1057
830	5170	1051
831	5177	1045
832	5184	1039
833	5192	1033
834	5199	1027
835	5206	1021
836	5213	1015
837	5231	1011
838	5236	1004
839	5241	998
840	5245	991
841	5249	985
842	5253	978
843	5257	971
844	5261	965
845	5265	958
846	5270	952
847	5274	945
848	5278	938
849	5285	932
850	5292	926
851	5299	920
852	5307	914
853	5314	908
854	5320	902
855	5327	896
856	5334	890
857	5340	883
858	5347	877
859	5354	871
860	5360	865
861	5368	859
862	5374	853
863	5381	847
864	5388	841
865	5401	835
866	5409	829
867	5413	823
868	5417	816
869	5421	810
870	5426	803
871	5431	797
872	5435	790
873	5439	784
874	5443	777
875	5447	771
876	5452	764
877	5459	758
878	5467	752
879	5474	746
880	5481	740
881	5487	734
882	5494	727
883	5500	721
884	5507	715
885	5514	709
886	5520	703
887	5527	697
888	5534	691
889	5541	684
890	5548	678
891	5556	672
892	5562	666
893	5570	660
894	5579	654
895	5583	648
896	5587	641
897	5592	635
898	5596	628
899	5600	622
900	5605	615
901	5609	609
902	5613	602
903	5617	596
904	5621	590
905	5628	583
906	5634	577
907	5642	571
908	5649	565
909	5655	559
910	5662	553
911	5668	546
912	5675	540
913	5682	534
914	5689	528
915	5695	522
916	5702	516
917	5710	510
918	5717	503
919	5724	497
920	5731	491
921	5738	485
922	5745	479
923	5757	473
924	5763	467
925	5769	461
926	5774	454
927	5778	448
928	5782	441
929	5787	435
930	5791	429
931	5796	422
932	5803	416
933	5811	410
934	5818	404
935	5825	398
936	5831	392
937	5838	385
938	5845	379
939	5852	373
940	5858	367
941	5865	361
942	5872	354
943	5878	348
944	5886	342
945	5893	336
946	5900	330
947	5906	324
948	5913	317
949	5920	311
950	5934	305
951	5939	299
952	5944	293
953	5948	286
954	5952	280
955	5956	274
956	5961	267
957	5965	261
958	5969	255
959	5973	248
960	5982	242
961	5989	236
962	5996	230
963	6005	224
964	6011	218
965	6018	211
966	6025	205
967	6032	199
968	6038	193
969	6045	186
970	6052	180
971	6059	174
972	6066	168
973	6073	162
974	6080	155
975	6087	149
976	6094	143
977	6101	137
978	6112	131
979	6117	124
980	6122	118
981	6126	112
982	6130	106
983	6135	99
984	6139	93
985	6143	87
986	6147	80
987	6154	74
988	6162	68
989	6169	62
990	6176	56
991	6183	49
992	6189	43
993	6196	37
994	6203	31
995	6209	24
996	6215	18
997	6222	12
998	6229	6
999	6236	0
